"Function","Inferred responsibility","Evidence","Confidence"
"FUN_0043f16c","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 0043f16c is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __cdecl, parameter count 7, and return type undefined4.","Medium"
"__global_unwind2","Named Visual C++ runtime/library helper: __global_unwind2.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 0043f21c, calling convention __cdecl, parameter count 1, and return type undefined. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"__local_unwind2","Named Visual C++ runtime/library helper: __local_unwind2.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 0043f25e, calling convention __cdecl, parameter count 2, and return type undefined. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"__abnormal_termination","Named Visual C++ runtime/library helper: __abnormal_termination.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 0043f2c6, calling convention __cdecl, parameter count 0, and return type int. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"__NLG_Notify1","Named Visual C++ runtime/library helper: __NLG_Notify1.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 0043f2e9, calling convention __fastcall, parameter count 1, and return type undefined. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"FUN_0043f2f2","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 0043f2f2 is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __stdcall, parameter count 0, and return type undefined.","Medium"
"FUN_0043f30c","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 0043f30c is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __stdcall, parameter count 0, and return type undefined.","Medium"
"_atol","Named Visual C++ runtime/library helper: _atol.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 0043f3b3, calling convention __cdecl, parameter count 1, and return type long. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"_atol","Named Visual C++ runtime/library helper: _atol.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 0043f3b3, calling convention __cdecl, parameter count 1, and return type long. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"FUN_0043f3b8","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 0043f3b8 is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __cdecl, parameter count 1, and return type int.","Medium"
"_calloc","Named Visual C++ runtime/library helper: _calloc.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 0043f3c3, calling convention __cdecl, parameter count 2, and return type void *. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"FUN_0043f46d","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 0043f46d is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __stdcall, parameter count 0, and return type undefined.","Medium"
"_strcmp","Named Visual C++ runtime/library helper: _strcmp.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 0043f480, calling convention __cdecl, parameter count 2, and return type int. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"_strstr","Named Visual C++ runtime/library helper: _strstr.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 0043f510, calling convention __cdecl, parameter count 2, and return type char *. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"__onexit_lk","Named Visual C++ runtime/library helper: __onexit_lk.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 0043f596, calling convention __stdcall, parameter count 0, and return type undefined. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"___onexitinit","Named Visual C++ runtime/library helper: ___onexitinit.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 0043f616, calling convention __stdcall, parameter count 0, and return type undefined4. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"__onexit","Named Visual C++ runtime/library helper: __onexit.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 0043f63e, calling convention __cdecl, parameter count 1, and return type _onexit_t. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"FUN_0043f670","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 0043f670 is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __stdcall, parameter count 0, and return type undefined.","Medium"
"_atexit","Named Visual C++ runtime/library helper: _atexit.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 0043f676, calling convention __cdecl, parameter count 1, and return type int. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"_strncpy","Named Visual C++ runtime/library helper: _strncpy.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 0043f690, calling convention __cdecl, parameter count 3, and return type char *. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"__fwrite_lk","Named Visual C++ runtime/library helper: __fwrite_lk.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 0043f7b4, calling convention __cdecl, parameter count 4, and return type uint. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"_fwrite","Named Visual C++ runtime/library helper: _fwrite.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 0043f8bb, calling convention __cdecl, parameter count 4, and return type size_t. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"FUN_0043f8fd","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 0043f8fd is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __stdcall, parameter count 0, and return type undefined.","Medium"
"__stricmp","Named Visual C++ runtime/library helper: __stricmp.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 0043f907, calling convention __cdecl, parameter count 2, and return type int. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"_strrchr","Named Visual C++ runtime/library helper: _strrchr.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 0043f970, calling convention __cdecl, parameter count 2, and return type char *. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"FUN_0043f99d","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 0043f99d is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __cdecl, parameter count 3, and return type char *.","Medium"
"FUN_0043fa1b","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 0043fa1b is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __stdcall, parameter count 0, and return type undefined.","Medium"
"_strncat","Named Visual C++ runtime/library helper: _strncat.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 0043fa30, calling convention __cdecl, parameter count 3, and return type char *. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"__heap_alloc","Named Visual C++ runtime/library helper: __heap_alloc.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 0043fb65, calling convention __cdecl, parameter count 1, and return type void *. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"FUN_0043fbd7","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 0043fbd7 is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __stdcall, parameter count 0, and return type undefined.","Medium"
"__nh_malloc","Named Visual C++ runtime/library helper: __nh_malloc.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 0043fbe0, calling convention __cdecl, parameter count 2, and return type void *. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"_malloc","Named Visual C++ runtime/library helper: _malloc.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 0043fc0c, calling convention __cdecl, parameter count 1, and return type void *. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"_free","Named Visual C++ runtime/library helper: _free.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 0043fc1e, calling convention __cdecl, parameter count 1, and return type void. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"`eh_vector_constructor_iterator'","Named Visual C++ runtime/library helper: `eh_vector_constructor_iterator'.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 0043fc23, calling convention __stdcall, parameter count 5, and return type void. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"FUN_0043fc6d","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 0043fc6d is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __stdcall, parameter count 0, and return type undefined.","Medium"
"operator_new","Named Visual C++ runtime/library helper: operator_new.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 0043fc85, calling convention __cdecl, parameter count 1, and return type void *. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"__fread_lk","Named Visual C++ runtime/library helper: __fread_lk.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 0043fc8a, calling convention __cdecl, parameter count 4, and return type uint. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"_fread","Named Visual C++ runtime/library helper: _fread.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 0043fd73, calling convention __cdecl, parameter count 4, and return type size_t. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"FUN_0043fdb5","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 0043fdb5 is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __stdcall, parameter count 0, and return type undefined.","Medium"
"__ArrayUnwind","Named Visual C++ runtime/library helper: __ArrayUnwind.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 0043fdbf, calling convention __stdcall, parameter count 4, and return type void. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"`eh_vector_destructor_iterator'","Named Visual C++ runtime/library helper: `eh_vector_destructor_iterator'.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 0043fe1d, calling convention __stdcall, parameter count 4, and return type void. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"FUN_0043fe65","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 0043fe65 is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __stdcall, parameter count 0, and return type undefined.","Medium"
"FUN_0043fe7d","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 0043fe7d is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __cdecl, parameter count 1, and return type char *.","Medium"
"_localtime","Named Visual C++ runtime/library helper: _localtime.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 0043ff88, calling convention __cdecl, parameter count 1, and return type tm *. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"__allshl","Named Visual C++ runtime/library helper: __allshl.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00440110, calling convention __fastcall, parameter count 2, and return type longlong. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"FUN_0044012f","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 0044012f is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __cdecl, parameter count 2, and return type uint.","Medium"
"_strncmp","Named Visual C++ runtime/library helper: _strncmp.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 004401f0, calling convention __cdecl, parameter count 3, and return type int. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"_memcpy","Named Visual C++ runtime/library helper: _memcpy.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00440230, calling convention __cdecl, parameter count 3, and return type void *. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"_fsetpos","Named Visual C++ runtime/library helper: _fsetpos.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 0044056d, calling convention __cdecl, parameter count 2, and return type int. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"_fgetpos","Named Visual C++ runtime/library helper: _fgetpos.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00440585, calling convention __cdecl, parameter count 2, and return type int. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"_isupper","Named Visual C++ runtime/library helper: _isupper.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 004405a7, calling convention __cdecl, parameter count 1, and return type int. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"_isdigit","Named Visual C++ runtime/library helper: _isdigit.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 004405e1, calling convention __cdecl, parameter count 1, and return type int. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"_isalnum","Named Visual C++ runtime/library helper: _isalnum.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 0044061b, calling convention __cdecl, parameter count 1, and return type int. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"_rewind","Named Visual C++ runtime/library helper: _rewind.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 0044065a, calling convention __cdecl, parameter count 1, and return type void. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"FUN_004406d9","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 004406d9 is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __stdcall, parameter count 0, and return type undefined.","Medium"
"FUN_004406e3","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 004406e3 is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __thiscall, parameter count 3, and return type uint.","Medium"
"FUN_004407ab","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 004407ab is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __cdecl, parameter count 1, and return type undefined.","Medium"
"__amsg_exit","Named Visual C++ runtime/library helper: __amsg_exit.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 004407cd, calling convention __cdecl, parameter count 1, and return type void. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"fast_error_exit","Named Visual C++ runtime/library helper: fast_error_exit.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 004407f2, calling convention __cdecl, parameter count 1, and return type undefined. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"entry","Named Visual C++ runtime/library helper: entry.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00440816, calling convention __stdcall, parameter count 0, and return type WPARAM. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"FUN_004409e8","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 004409e8 is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __stdcall, parameter count 0, and return type undefined.","Medium"
"FUN_00440a3e","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 00440a3e is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __stdcall, parameter count 1, and return type undefined.","Medium"
"__SEH_prolog","Named Visual C++ runtime/library helper: __SEH_prolog.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00440b88, calling convention __cdecl, parameter count 2, and return type undefined. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"__SEH_epilog","Named Visual C++ runtime/library helper: __SEH_epilog.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00440bc3, calling convention __stdcall, parameter count 0, and return type undefined. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"FUN_00440bd4","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 00440bd4 is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __cdecl, parameter count 1, and return type undefined4.","Medium"
"__close","Named Visual C++ runtime/library helper: __close.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00440c57, calling convention __cdecl, parameter count 1, and return type int. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"FUN_00440cce","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 00440cce is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __stdcall, parameter count 0, and return type undefined.","Medium"
"__freebuf","Named Visual C++ runtime/library helper: __freebuf.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00440cf2, calling convention __cdecl, parameter count 1, and return type void. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"__flush","Named Visual C++ runtime/library helper: __flush.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00440d1d, calling convention __cdecl, parameter count 1, and return type int. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"__fflush_lk","Named Visual C++ runtime/library helper: __fflush_lk.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00440d7a, calling convention __cdecl, parameter count 1, and return type int. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"flsall","Named Visual C++ runtime/library helper: flsall.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00440da8, calling convention __cdecl, parameter count 1, and return type int. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"FUN_00440e48","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 00440e48 is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __stdcall, parameter count 0, and return type undefined.","Medium"
"FUN_00440e74","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 00440e74 is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __stdcall, parameter count 0, and return type undefined.","Medium"
"__flushall","Named Visual C++ runtime/library helper: __flushall.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00440e7d, calling convention __cdecl, parameter count 0, and return type int. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"___endstdio","Named Visual C++ runtime/library helper: ___endstdio.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00440f2f, calling convention __stdcall, parameter count 0, and return type undefined. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"__lock_file","Named Visual C++ runtime/library helper: __lock_file.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00440f43, calling convention __cdecl, parameter count 1, and return type void. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"__lock_file2","Named Visual C++ runtime/library helper: __lock_file2.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00440f72, calling convention __cdecl, parameter count 2, and return type void. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"__unlock_file","Named Visual C++ runtime/library helper: __unlock_file.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00440f95, calling convention __cdecl, parameter count 1, and return type void. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"__unlock_file2","Named Visual C++ runtime/library helper: __unlock_file2.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00440fc4, calling convention __cdecl, parameter count 2, and return type void. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"__stbuf","Named Visual C++ runtime/library helper: __stbuf.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00440fe7, calling convention __cdecl, parameter count 1, and return type int. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"__ftbuf","Named Visual C++ runtime/library helper: __ftbuf.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 0044106f, calling convention __cdecl, parameter count 2, and return type void. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"write_char","Named Visual C++ runtime/library helper: write_char.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00441099, calling convention __cdecl, parameter count 0, and return type undefined. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"write_multi_char","Named Visual C++ runtime/library helper: write_multi_char.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 004410cc, calling convention __cdecl, parameter count 2, and return type undefined. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"write_string","Named Visual C++ runtime/library helper: write_string.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 004410f0, calling convention __cdecl, parameter count 1, and return type undefined. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"FUN_00441127","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 00441127 is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __cdecl, parameter count 3, and return type int.","Medium"
"__openfile","Named Visual C++ runtime/library helper: __openfile.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 004418bc, calling convention __cdecl, parameter count 4, and return type FILE *. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"FUN_00441a24","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 00441a24 is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __stdcall, parameter count 0, and return type int *.","Medium"
"FUN_00441a2d","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 00441a2d is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __stdcall, parameter count 0, and return type ulong *.","Medium"
"__dosmaperr","Named Visual C++ runtime/library helper: __dosmaperr.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00441a36, calling convention __cdecl, parameter count 1, and return type void. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
